S.N.,Symbol,Company,Units,Price,Opening Date,Closing Date,Last Closing Date,Listing Date,Issue Manager,Status,View
188,SLBS,Suryodaya Laghubitta Bittiya Sanstha Limited,"120,000.00",100.00,2016-08-27,2016-08-30,2016-09-11,2016-12-22,Global IME Capital Limited,Closed,
189,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,"400,000.00",100.00,2016-08-20,2016-08-23,2016-09-04,2016-12-14,NIBL Capital Markets Ltd.,Closed,
190,NMFBS,National Laghubitta Bittiya Sanstha Limited,"300,000.00",100.00,2016-07-30,2016-08-02,2016-08-14,2016-12-05,NIBL Capital Market Limited,Closed,
191,DHPL,Dibyashwari Hydropower Company Limited,"396,000.00",100.00,2016-06-26,2016-06-29,2016-07-11,2017-02-12,Ace Capital Limited.,Closed,
192,GRDBL,Green Development Bank Limited,"450,000.00",100.00,2016-06-04,2016-06-07,2016-06-19,2016-11-16,NIBL Capital Markets Ltd.,Closed,
193,KKHC,Khani Khola Hydropower Company Limited,"931,429.00",100.00,2016-05-28,2016-05-31,2016-06-12,2017-01-03,Civil Capital Market Ltd.,Closed,
194,NGPL,Ngadi Group Power Limited,"973,737.00",100.00,2016-04-02,2016-04-05,2016-04-17,2016-08-31,NIBL Capital Markets Ltd.,Closed,
195,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,"612,000.00",100.00,2016-03-09,2016-03-13,2016-03-24,2016-06-27,Global IME Capital Ltd.,Closed,
196,HIDCL,Hydroelectricity Investment and Development Company Limited,"20,000,000.00",100.00,2015-10-28,2015-11-01,2015-11-15,2016-07-01,"Citizen investment trust, NCM merchant, NMB capital Ltd.",Closed,
197,API,Api Power Company Limited,"3,000,000.00",100.00,2015-07-08,2015-07-12,2015-07-23,2015-11-09,NIBL Capital Markets Ltd.,Closed,
198,GILB,Global IME Laghubitta Bittiya Sanstha Limited,"150,000.00",100.00,2015-07-06,2015-07-09,2015-07-21,2015-11-23,Civil Capital Market Ltd.,Closed,
199,WOMI,Womi Laghubitta Bittiya Sanstha Limited,"147,000.00",100.00,2015-07-06,2015-07-09,2015-07-21,2015-11-25,NMB Capital Ltd.,Closed,
200,MSMBS,Mahila Sahayatra Laghubitta Bittiya Sanstha Limited,"330,000.00",100.00,2015-06-22,2015-06-25,2015-07-07,2015-10-08,Nabil Investment Banking Ltd.,Closed,
201,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,"120,000.00",100.00,2015-06-17,2015-06-21,2015-07-02,2015-11-29,NMB Capital Ltd.,Closed,
202,KMFL,Kisan Microfinance Bittiya Sanstha Limited,"80,000.00",100.00,2015-06-15,2015-06-18,2015-06-30,2015-10-16,Civil Capital Market Ltd.,Closed,
203,SAJHA,Sajha Bikas Bank Limited,"490,000.00",100.00,2015-06-02,2015-06-06,2015-06-17,2016-02-02,NIBL Capital Markets Ltd.,Closed,
204,SKDBL,Saptakoshi Development Bank Limited,"400,000.00",100.00,2015-06-03,2015-06-07,2015-06-18,2016-04-04,NMB Capital Ltd.,Closed,
205,BFCL,Bhaktapur Finance Company Limited,"750,000.00",100.00,2015-04-21,2015-04-26,2015-05-06,2017-03-28,NMB Capital Ltd.,Closed,
206,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,"420,000.00",100.00,2015-03-31,2015-04-04,2015-04-15,2015-10-07,Growmore Merchant Banking Ltd.,Closed,
207,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),"400,000.00",100.00,2015-03-30,2015-04-02,2015-04-15,2015-10-16,Civil Capital Market Ltd.,Closed,
208,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,"60,000.00",100.00,2015-03-17,2015-03-22,2015-04-01,2015-08-18,Growmore Merchant Banking Ltd.,Closed,
209,JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,"90,000.00",100.00,2015-02-28,2015-03-03,2015-03-15,2015-10-16,Growmore Merchant Banking Ltd.,Closed,
210,BARUN,Barun Hydropower Company Limited,"486,000.00",100.00,2015-02-28,2015-03-03,2015-03-15,2015-10-07,Civil Capital Market Ltd.,Closed,
211,RBBBL,Raptibheri Bikas Bank Limited,"500,054.00",100.00,2015-02-04,2015-02-08,2015-02-20,,NMB Capital Ltd.,Closed,
212,KCDBL,Kalinchowk Development Bank Limited,"490,000.00",100.00,2014-08-05,2014-08-11,2014-08-20,,Growmore Merchant Banking Ltd.,Closed,
213,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,"300,000.00",100.00,2014-06-23,2014-06-26,2014-07-08,2014-09-28,Nabil Investment Banking Ltd.,Closed,
214,SHBL,Sahara Bikas Bank Limited,"60,000.00",100.00,2014-06-05,2014-06-09,2014-06-20,2014-11-03,Global IME Capital Ltd.,Closed,
215,EKBL,Ekata Bikash Bank Limited,"800,000.00",100.00,2014-06-03,2014-06-07,2014-06-18,2014-09-11,NMB Capital Ltd.,Closed,
216,MMDBL,Mount Makalu Development Bank Limited,"60,000.00",100.00,2014-04-09,2014-04-15,2014-04-25,,Growmore Merchant Banking Ltd.,Closed,
217,RHPC,Ridi Hydropower Development Company Limited,"1,170,000.00",100.00,2014-02-15,2014-02-19,2014-03-03,2014-07-03,Civil Capital Market Ltd.and Elite Capital Ltd.,Closed,
218,NCDB,Nepal Community Development Bank Limited,"300,000.00",100.00,2014-01-18,2014-01-21,2014-02-02,2014-03-19,Growmore Merchant Banking Ltd.,Closed,
219,CCBL,Century Commercial Bank Limited,"9,200,000.00",100.00,2014-01-08,2014-01-12,2014-01-23,2014-06-08,"Citizen Investment Trust, Nabil Investment banking Ltd., Civil Capital Markets Ltd., Growmore Merchant Banker Ltd. &amp; NCM Merchant Banking Ltd.",Closed,
220,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,"70,725.00",100.00,2014-01-04,2014-01-07,2014-01-19,2014-03-22,Civil Capital Market Ltd.,Closed,
221,NBBL,Nagbeli Laghubitta Bikash Bank Limited,"42,900.00",100.00,2013-12-07,2013-12-10,2013-12-22,2014-03-26,NMB Capital Ltd.,Closed,
