S.N.,Symbol,Company,Ratio,Units,Price,Opening Date,Closing Date,Book Closure Date,Listing Date,Issue Manager,Status,View,Eligibility Check
238,PRVU,Prabhu Bank Limited,10:2,"6,417,770.00",100.00,2016-02-27,2016-04-02,2015-10-01,,Nabil Investment Banking Ltd.,Closed,,
239,SUBBL,Subhechha Bikas Bank Limited,3:1,"500,852.00",100.00,2016-01-31,2016-03-05,2016-01-13,,Ace Capital Ltd.,Closed,,
240,GDBL,Gandaki Bikas Bank Limited,10:3,"1,056,000.00",100.00,2016-01-30,2016-03-05,2016-01-14,,Global IME Capital Ltd.,Closed,,
241,EDBL,Excel Development Bank Limited,4:1.037,"525,000.00",100.00,2016-01-20,2016-02-23,2016-01-11,,Ace Capital Ltd.,Closed,,
242,SRBL,Sunrise Bank Limited,100:15,"3,690,473.00",100.00,2016-01-24,2016-01-29,2016-01-10,,Civil Capital Market Ltd.,Closed,,
243,INDB,Innovative Development Bank Limited,3:2,"1,000,000.00",100.00,2016-01-21,2016-02-24,2016-01-10,,NMB Capital Ltd.,Closed,,
244,KADBL,Kanchan Development Bank Limited,4:1,"330,000.00",100.00,2015-12-23,2016-01-26,2015-12-11,,Global IME Capital Ltd.,Closed,,
245,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,2:1,"1,153,412.00",100.00,2015-12-10,2016-01-13,2015-11-24,2016-06-22,Nabil  investment Banking Ltd.,Closed,,
246,ICFC,ICFC Finance Limited,2:1,"2,134,845.00",100.00,2015-11-23,2015-12-27,2015-10-29,,Global IME Capital Ltd.,Closed,,
247,KKBL,Kankrebihar Bikas Bank Limited,1:0.5,"172,500.00",100.00,2015-11-01,2015-12-05,2015-10-14,,Growmore Merchant Banker Ltd.,Closed,,
248,KFL,Kathmandu Finance Limited.,1:1,"1,837,763.00",100.00,2015-10-31,2015-12-05,2015-05-30,,NIBL Capital Markets Ltd.,Closed,,
249,CCBL,Century Commercial Bank Limited,4:1,"5,300,000.00",100.00,2015-10-26,2015-11-29,2015-10-07,,Civil Capital Market Ltd.,Closed,,
250,GABL,Gaumukhee Bikas Bank Limited,2:0.75,"168,480.00",100.00,2015-10-10,2015-11-14,2015-09-29,,NMB Capital Ltd.,Closed,,
